Water Control Zone	Station	Dates	Sample No	Depth	5-day Biochemical Oxygen Demand (mg/L)
Tolo Harbour And Channel	TM3	16-11-2000	1	Surface Water	2.8
Tolo Harbour And Channel	TM3	16-11-2000	1	Middle Water	2.3
Tolo Harbour And Channel	TM3	16-11-2000	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	08-12-2000	1	Surface Water	2
Tolo Harbour And Channel	TM3	08-12-2000	1	Middle Water	1.9
Tolo Harbour And Channel	TM3	08-12-2000	1	Bottom Water	1.3
Tolo Harbour And Channel	TM3	09-01-2001	1	Surface Water	2.1
Tolo Harbour And Channel	TM3	09-01-2001	1	Middle Water	2.1
Tolo Harbour And Channel	TM3	09-01-2001	1	Bottom Water	2.1
Tolo Harbour And Channel	TM3	15-02-2001	1	Surface Water	2.7
Tolo Harbour And Channel	TM3	15-02-2001	1	Middle Water	3.7
Tolo Harbour And Channel	TM3	15-02-2001	1	Bottom Water	2.8
Tolo Harbour And Channel	TM3	16-03-2001	1	Surface Water	1.5
Tolo Harbour And Channel	TM3	16-03-2001	1	Middle Water	1.4
Tolo Harbour And Channel	TM3	16-03-2001	1	Bottom Water	2.8
Tolo Harbour And Channel	TM3	19-04-2001	1	Surface Water	3.3
Tolo Harbour And Channel	TM3	19-04-2001	1	Middle Water	2.7
Tolo Harbour And Channel	TM3	19-04-2001	1	Bottom Water	1.4
Tolo Harbour And Channel	TM3	07-05-2001	1	Surface Water	3.7
Tolo Harbour And Channel	TM3	07-05-2001	1	Middle Water	1.5
Tolo Harbour And Channel	TM3	07-05-2001	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	04-06-2001	1	Surface Water	4.8
Tolo Harbour And Channel	TM3	04-06-2001	1	Middle Water	2.4
Tolo Harbour And Channel	TM3	04-06-2001	1	Bottom Water	2.4
Tolo Harbour And Channel	TM3	20-07-2001	1	Surface Water	4.6
Tolo Harbour And Channel	TM3	20-07-2001	1	Middle Water	1.3
Tolo Harbour And Channel	TM3	20-07-2001	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	08-08-2001	1	Surface Water	3
Tolo Harbour And Channel	TM3	08-08-2001	1	Middle Water	1.8
Tolo Harbour And Channel	TM3	08-08-2001	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	12-09-2001	1	Surface Water	>8.4
Tolo Harbour And Channel	TM3	12-09-2001	1	Middle Water	0.9
Tolo Harbour And Channel	TM3	12-09-2001	1	Bottom Water	0.4
Tolo Harbour And Channel	TM3	17-10-2001	1	Surface Water	2.7
Tolo Harbour And Channel	TM3	17-10-2001	1	Middle Water	2.1
Tolo Harbour And Channel	TM3	17-10-2001	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	08-11-2001	1	Surface Water	3
Tolo Harbour And Channel	TM3	08-11-2001	1	Middle Water	3.3
Tolo Harbour And Channel	TM3	08-11-2001	1	Bottom Water	1.9
Tolo Harbour And Channel	TM3	05-12-2001	1	Surface Water	3.1
Tolo Harbour And Channel	TM3	05-12-2001	1	Middle Water	2.4
Tolo Harbour And Channel	TM3	05-12-2001	1	Bottom Water	2.3
Tolo Harbour And Channel	TM3	23-01-2002	1	Surface Water	1.4
Tolo Harbour And Channel	TM3	23-01-2002	1	Middle Water	1.5
Tolo Harbour And Channel	TM3	23-01-2002	1	Bottom Water	1.4
Tolo Harbour And Channel	TM3	25-02-2002	1	Surface Water	2.4
Tolo Harbour And Channel	TM3	25-02-2002	1	Middle Water	2.2
Tolo Harbour And Channel	TM3	25-02-2002	1	Bottom Water	1.7
Tolo Harbour And Channel	TM3	11-03-2002	1	Surface Water	3.4
Tolo Harbour And Channel	TM3	11-03-2002	1	Middle Water	2.2
Tolo Harbour And Channel	TM3	11-03-2002	1	Bottom Water	1.2
Tolo Harbour And Channel	TM3	24-04-2002	1	Surface Water	2.4
Tolo Harbour And Channel	TM3	24-04-2002	1	Middle Water	1.8
Tolo Harbour And Channel	TM3	24-04-2002	1	Bottom Water	1.8
Tolo Harbour And Channel	TM3	08-05-2002	1	Surface Water	3
Tolo Harbour And Channel	TM3	08-05-2002	1	Middle Water	1.6
Tolo Harbour And Channel	TM3	08-05-2002	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	12-06-2002	1	Surface Water	1.8
Tolo Harbour And Channel	TM3	12-06-2002	1	Middle Water	0.7
Tolo Harbour And Channel	TM3	12-06-2002	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	08-07-2002	1	Surface Water	2.7
Tolo Harbour And Channel	TM3	08-07-2002	1	Middle Water	2
Tolo Harbour And Channel	TM3	08-07-2002	1	Bottom Water	1.3
Tolo Harbour And Channel	TM3	22-08-2002	1	Surface Water	5.6
Tolo Harbour And Channel	TM3	22-08-2002	1	Middle Water	0.9
Tolo Harbour And Channel	TM3	22-08-2002	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	04-09-2002	1	Surface Water	2.7
Tolo Harbour And Channel	TM3	04-09-2002	1	Middle Water	2.3
Tolo Harbour And Channel	TM3	04-09-2002	1	Bottom Water	2.3
Tolo Harbour And Channel	TM3	03-10-2002	1	Surface Water	3.6
Tolo Harbour And Channel	TM3	03-10-2002	1	Middle Water	2.4
Tolo Harbour And Channel	TM3	03-10-2002	1	Bottom Water	1.9
Tolo Harbour And Channel	TM3	13-11-2002	1	Surface Water	2.9
Tolo Harbour And Channel	TM3	13-11-2002	1	Middle Water	1.2
Tolo Harbour And Channel	TM3	13-11-2002	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	06-12-2002	1	Surface Water	2.6
Tolo Harbour And Channel	TM3	06-12-2002	1	Middle Water	2.8
Tolo Harbour And Channel	TM3	06-12-2002	1	Bottom Water	2.1
Tolo Harbour And Channel	TM3	10-01-2003	1	Surface Water	1.8
Tolo Harbour And Channel	TM3	10-01-2003	1	Middle Water	1.6
Tolo Harbour And Channel	TM3	10-01-2003	1	Bottom Water	1.3
Tolo Harbour And Channel	TM3	05-02-2003	1	Surface Water	4.1
Tolo Harbour And Channel	TM3	05-02-2003	1	Middle Water	4.2
Tolo Harbour And Channel	TM3	05-02-2003	1	Bottom Water	2.9
Tolo Harbour And Channel	TM3	13-03-2003	1	Surface Water	4.5
Tolo Harbour And Channel	TM3	13-03-2003	1	Middle Water	4.1
Tolo Harbour And Channel	TM3	13-03-2003	1	Bottom Water	1.4
Tolo Harbour And Channel	TM3	23-04-2003	1	Surface Water	1.4
Tolo Harbour And Channel	TM3	23-04-2003	1	Middle Water	1.3
Tolo Harbour And Channel	TM3	23-04-2003	1	Bottom Water	1.7
Tolo Harbour And Channel	TM3	12-05-2003	1	Surface Water	2.8
Tolo Harbour And Channel	TM3	12-05-2003	1	Middle Water	2.3
Tolo Harbour And Channel	TM3	12-05-2003	1	Bottom Water	1.6
Tolo Harbour And Channel	TM3	11-06-2003	1	Surface Water	7.5
Tolo Harbour And Channel	TM3	11-06-2003	1	Middle Water	2.5
Tolo Harbour And Channel	TM3	11-06-2003	1	Bottom Water	2.5
Tolo Harbour And Channel	TM3	09-07-2003	1	Surface Water	2.5
Tolo Harbour And Channel	TM3	09-07-2003	1	Middle Water	2.1
Tolo Harbour And Channel	TM3	09-07-2003	1	Bottom Water	1.7
Tolo Harbour And Channel	TM3	06-08-2003	1	Surface Water	2.9
Tolo Harbour And Channel	TM3	06-08-2003	1	Middle Water	2.3
Tolo Harbour And Channel	TM3	06-08-2003	1	Bottom Water	1.2
Tolo Harbour And Channel	TM3	18-09-2003	1	Surface Water	3.4
Tolo Harbour And Channel	TM3	18-09-2003	1	Middle Water	0.6
Tolo Harbour And Channel	TM3	18-09-2003	1	Bottom Water	1.2
Tolo Harbour And Channel	TM3	08-10-2003	1	Surface Water	2.6
Tolo Harbour And Channel	TM3	08-10-2003	1	Middle Water	1.5
Tolo Harbour And Channel	TM3	08-10-2003	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	07-11-2003	1	Surface Water	2
Tolo Harbour And Channel	TM3	07-11-2003	1	Middle Water	1.9
Tolo Harbour And Channel	TM3	07-11-2003	1	Bottom Water	1.4
Tolo Harbour And Channel	TM3	08-12-2003	1	Surface Water	3.4
Tolo Harbour And Channel	TM3	08-12-2003	1	Middle Water	2.6
Tolo Harbour And Channel	TM3	08-12-2003	1	Bottom Water	1.6
Tolo Harbour And Channel	TM3	15-01-2004	1	Surface Water	2.9
Tolo Harbour And Channel	TM3	15-01-2004	1	Middle Water	3
Tolo Harbour And Channel	TM3	15-01-2004	1	Bottom Water	2.9
Tolo Harbour And Channel	TM3	09-02-2004	1	Surface Water	2.5
Tolo Harbour And Channel	TM3	09-02-2004	1	Middle Water	2.6
Tolo Harbour And Channel	TM3	09-02-2004	1	Bottom Water	1.7
Tolo Harbour And Channel	TM3	04-03-2004	1	Surface Water	3.2
Tolo Harbour And Channel	TM3	04-03-2004	1	Middle Water	3.1
Tolo Harbour And Channel	TM3	04-03-2004	1	Bottom Water	3.1
Tolo Harbour And Channel	TM3	16-04-2004	1	Surface Water	3.9
Tolo Harbour And Channel	TM3	16-04-2004	1	Middle Water	1.3
Tolo Harbour And Channel	TM3	16-04-2004	1	Bottom Water	2.2
Tolo Harbour And Channel	TM3	12-05-2004	1	Surface Water	2.8
Tolo Harbour And Channel	TM3	12-05-2004	1	Middle Water	1.9
Tolo Harbour And Channel	TM3	12-05-2004	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	07-06-2004	1	Surface Water	3
Tolo Harbour And Channel	TM3	07-06-2004	1	Middle Water	1.6
Tolo Harbour And Channel	TM3	07-06-2004	1	Bottom Water	1.4
Tolo Harbour And Channel	TM3	05-07-2004	1	Surface Water	2.7
Tolo Harbour And Channel	TM3	05-07-2004	1	Middle Water	2.2
Tolo Harbour And Channel	TM3	05-07-2004	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	23-08-2004	1	Surface Water	3.9
Tolo Harbour And Channel	TM3	23-08-2004	1	Middle Water	1.5
Tolo Harbour And Channel	TM3	23-08-2004	1	Bottom Water	1
Tolo Harbour And Channel	TM3	16-09-2004	1	Surface Water	2.7
Tolo Harbour And Channel	TM3	16-09-2004	1	Middle Water	1.5
Tolo Harbour And Channel	TM3	16-09-2004	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	18-10-2004	1	Surface Water	1.8
Tolo Harbour And Channel	TM3	18-10-2004	1	Middle Water	1.4
Tolo Harbour And Channel	TM3	18-10-2004	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	03-11-2004	1	Surface Water	2
Tolo Harbour And Channel	TM3	03-11-2004	1	Middle Water	1.9
Tolo Harbour And Channel	TM3	03-11-2004	1	Bottom Water	1.9
Tolo Harbour And Channel	TM3	07-12-2004	1	Surface Water	1.7
Tolo Harbour And Channel	TM3	07-12-2004	1	Middle Water	2.1
Tolo Harbour And Channel	TM3	07-12-2004	1	Bottom Water	1.8
Tolo Harbour And Channel	TM3	14-01-2005	1	Surface Water	1.5
Tolo Harbour And Channel	TM3	14-01-2005	1	Middle Water	1.3
Tolo Harbour And Channel	TM3	14-01-2005	1	Bottom Water	1
Tolo Harbour And Channel	TM3	18-02-2005	1	Surface Water	1.4
Tolo Harbour And Channel	TM3	18-02-2005	1	Middle Water	1.4
Tolo Harbour And Channel	TM3	18-02-2005	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	09-03-2005	1	Surface Water	2.4
Tolo Harbour And Channel	TM3	09-03-2005	1	Middle Water	2.4
Tolo Harbour And Channel	TM3	09-03-2005	1	Bottom Water	1.6
Tolo Harbour And Channel	TM3	18-04-2005	1	Surface Water	1.8
Tolo Harbour And Channel	TM3	18-04-2005	1	Middle Water	1.5
Tolo Harbour And Channel	TM3	18-04-2005	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	09-05-2005	1	Surface Water	2.5
Tolo Harbour And Channel	TM3	09-05-2005	1	Middle Water	2.3
Tolo Harbour And Channel	TM3	09-05-2005	1	Bottom Water	1
Tolo Harbour And Channel	TM3	09-06-2005	1	Surface Water	2.9
Tolo Harbour And Channel	TM3	09-06-2005	1	Middle Water	1.7
Tolo Harbour And Channel	TM3	09-06-2005	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	14-07-2005	1	Surface Water	2.4
Tolo Harbour And Channel	TM3	14-07-2005	1	Middle Water	0.6
Tolo Harbour And Channel	TM3	14-07-2005	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	12-08-2005	1	Surface Water	1.9
Tolo Harbour And Channel	TM3	12-08-2005	1	Middle Water	1.1
Tolo Harbour And Channel	TM3	12-08-2005	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	08-09-2005	1	Surface Water	1.8
Tolo Harbour And Channel	TM3	08-09-2005	1	Middle Water	1.3
Tolo Harbour And Channel	TM3	08-09-2005	1	Bottom Water	1.3
Tolo Harbour And Channel	TM3	07-10-2005	1	Surface Water	1.6
Tolo Harbour And Channel	TM3	07-10-2005	1	Middle Water	2.2
Tolo Harbour And Channel	TM3	07-10-2005	1	Bottom Water	2.2
Tolo Harbour And Channel	TM3	09-11-2005	1	Surface Water	4
Tolo Harbour And Channel	TM3	09-11-2005	1	Middle Water	3.8
Tolo Harbour And Channel	TM3	09-11-2005	1	Bottom Water	1.7
Tolo Harbour And Channel	TM3	06-12-2005	1	Surface Water	1.3
Tolo Harbour And Channel	TM3	06-12-2005	1	Middle Water	1.4
Tolo Harbour And Channel	TM3	06-12-2005	1	Bottom Water	1.2
Tolo Harbour And Channel	TM3	04-01-2006	1	Surface Water	2.8
Tolo Harbour And Channel	TM3	04-01-2006	1	Middle Water	4.3
Tolo Harbour And Channel	TM3	04-01-2006	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	08-02-2006	1	Surface Water	1.5
Tolo Harbour And Channel	TM3	08-02-2006	1	Middle Water	1.4
Tolo Harbour And Channel	TM3	08-02-2006	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	01-03-2006	1	Surface Water	0.7
Tolo Harbour And Channel	TM3	01-03-2006	1	Middle Water	1.6
Tolo Harbour And Channel	TM3	01-03-2006	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	03-04-2006	1	Surface Water	1.3
Tolo Harbour And Channel	TM3	03-04-2006	1	Middle Water	1.7
Tolo Harbour And Channel	TM3	03-04-2006	1	Bottom Water	1.3
Tolo Harbour And Channel	TM3	08-05-2006	1	Surface Water	1.5
Tolo Harbour And Channel	TM3	08-05-2006	1	Middle Water	0.8
Tolo Harbour And Channel	TM3	08-05-2006	1	Bottom Water	1
Tolo Harbour And Channel	TM3	05-06-2006	1	Surface Water	0.8
Tolo Harbour And Channel	TM3	05-06-2006	1	Middle Water	0.7
Tolo Harbour And Channel	TM3	05-06-2006	1	Bottom Water	0.4
Tolo Harbour And Channel	TM3	17-07-2006	1	Surface Water	1
Tolo Harbour And Channel	TM3	17-07-2006	1	Middle Water	<0.1
Tolo Harbour And Channel	TM3	17-07-2006	1	Bottom Water	<0.1
Tolo Harbour And Channel	TM3	14-08-2006	1	Surface Water	1.6
Tolo Harbour And Channel	TM3	14-08-2006	1	Middle Water	0.2
Tolo Harbour And Channel	TM3	14-08-2006	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	18-09-2006	1	Surface Water	3.3
Tolo Harbour And Channel	TM3	18-09-2006	1	Middle Water	3
Tolo Harbour And Channel	TM3	18-09-2006	1	Bottom Water	0.7
Tolo Harbour And Channel	TM3	16-10-2006	1	Surface Water	2.3
Tolo Harbour And Channel	TM3	16-10-2006	1	Middle Water	2.2
Tolo Harbour And Channel	TM3	16-10-2006	1	Bottom Water	2.1
Tolo Harbour And Channel	TM3	23-11-2006	1	Surface Water	9.1
Tolo Harbour And Channel	TM3	23-11-2006	1	Middle Water	4.6
Tolo Harbour And Channel	TM3	23-11-2006	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	13-12-2006	1	Surface Water	6.8
Tolo Harbour And Channel	TM3	13-12-2006	1	Middle Water	2
Tolo Harbour And Channel	TM3	13-12-2006	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	11-01-2007	1	Surface Water	1.6
Tolo Harbour And Channel	TM3	11-01-2007	1	Middle Water	1.6
Tolo Harbour And Channel	TM3	11-01-2007	1	Bottom Water	1.8
Tolo Harbour And Channel	TM3	07-02-2007	1	Surface Water	1.9
Tolo Harbour And Channel	TM3	07-02-2007	1	Middle Water	1.6
Tolo Harbour And Channel	TM3	07-02-2007	1	Bottom Water	1.7
Tolo Harbour And Channel	TM3	29-03-2007	1	Surface Water	2.1
Tolo Harbour And Channel	TM3	29-03-2007	1	Middle Water	1.7
Tolo Harbour And Channel	TM3	29-03-2007	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	20-04-2007	1	Surface Water	2.6
Tolo Harbour And Channel	TM3	20-04-2007	1	Middle Water	2.8
Tolo Harbour And Channel	TM3	20-04-2007	1	Bottom Water	1.8
Tolo Harbour And Channel	TM3	21-05-2007	1	Surface Water	0.5
Tolo Harbour And Channel	TM3	21-05-2007	1	Middle Water	0.6
Tolo Harbour And Channel	TM3	21-05-2007	1	Bottom Water	0.5
Tolo Harbour And Channel	TM3	14-06-2007	1	Surface Water	1.2
Tolo Harbour And Channel	TM3	14-06-2007	1	Middle Water	0.5
Tolo Harbour And Channel	TM3	14-06-2007	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	26-07-2007	1	Surface Water	2.1
Tolo Harbour And Channel	TM3	26-07-2007	1	Middle Water	1.5
Tolo Harbour And Channel	TM3	26-07-2007	1	Bottom Water	1.3
Tolo Harbour And Channel	TM3	17-08-2007	1	Surface Water	2
Tolo Harbour And Channel	TM3	17-08-2007	1	Middle Water	1.6
Tolo Harbour And Channel	TM3	17-08-2007	1	Bottom Water	1.5
Tolo Harbour And Channel	TM3	20-09-2007	1	Surface Water	1.6
Tolo Harbour And Channel	TM3	20-09-2007	1	Middle Water	1.6
Tolo Harbour And Channel	TM3	20-09-2007	1	Bottom Water	1.6
Tolo Harbour And Channel	TM3	25-10-2007	1	Surface Water	2.1
Tolo Harbour And Channel	TM3	25-10-2007	1	Middle Water	1.8
Tolo Harbour And Channel	TM3	25-10-2007	1	Bottom Water	1.2
Tolo Harbour And Channel	TM3	19-11-2007	1	Surface Water	1.7
Tolo Harbour And Channel	TM3	19-11-2007	1	Middle Water	1.5
Tolo Harbour And Channel	TM3	19-11-2007	1	Bottom Water	1
Tolo Harbour And Channel	TM3	10-12-2007	1	Surface Water	1.5
Tolo Harbour And Channel	TM3	10-12-2007	1	Middle Water	1.9
Tolo Harbour And Channel	TM3	10-12-2007	1	Bottom Water	1.6
Tolo Harbour And Channel	TM3	21-01-2008	1	Surface Water	1.1
Tolo Harbour And Channel	TM3	21-01-2008	1	Middle Water	1.3
Tolo Harbour And Channel	TM3	21-01-2008	1	Bottom Water	0.9
Tolo Harbour And Channel	TM3	21-02-2008	1	Surface Water	2.2
Tolo Harbour And Channel	TM3	21-02-2008	1	Middle Water	1.9
Tolo Harbour And Channel	TM3	21-02-2008	1	Bottom Water	1.3
Tolo Harbour And Channel	TM3	12-03-2008	1	Surface Water	1.5
Tolo Harbour And Channel	TM3	12-03-2008	1	Middle Water	0.9
Tolo Harbour And Channel	TM3	12-03-2008	1	Bottom Water	1
Tolo Harbour And Channel	TM3	11-04-2008	1	Surface Water	1.6
Tolo Harbour And Channel	TM3	11-04-2008	1	Middle Water	1.5
Tolo Harbour And Channel	TM3	11-04-2008	1	Bottom Water	2.2
Tolo Harbour And Channel	TM3	08-05-2008	1	Surface Water	2.3
Tolo Harbour And Channel	TM3	08-05-2008	1	Middle Water	1.9
Tolo Harbour And Channel	TM3	08-05-2008	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	20-06-2008	1	Surface Water	2.2
Tolo Harbour And Channel	TM3	20-06-2008	1	Middle Water	2
Tolo Harbour And Channel	TM3	20-06-2008	1	Bottom Water	0.6
Tolo Harbour And Channel	TM3	24-07-2008	1	Surface Water	3.5
Tolo Harbour And Channel	TM3	24-07-2008	1	Middle Water	2.7
Tolo Harbour And Channel	TM3	24-07-2008	1	Bottom Water	3.8
Tolo Harbour And Channel	TM3	14-08-2008	1	Surface Water	1.4
Tolo Harbour And Channel	TM3	14-08-2008	1	Middle Water	2
Tolo Harbour And Channel	TM3	14-08-2008	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	04-09-2008	1	Surface Water	1.1
Tolo Harbour And Channel	TM3	04-09-2008	1	Middle Water	0.4
Tolo Harbour And Channel	TM3	04-09-2008	1	Bottom Water	<0.1
Tolo Harbour And Channel	TM3	24-10-2008	1	Surface Water	2
Tolo Harbour And Channel	TM3	24-10-2008	1	Middle Water	1.3
Tolo Harbour And Channel	TM3	24-10-2008	1	Bottom Water	1.2
Tolo Harbour And Channel	TM3	24-11-2008	1	Surface Water	1.8
Tolo Harbour And Channel	TM3	24-11-2008	1	Middle Water	1.8
Tolo Harbour And Channel	TM3	24-11-2008	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	08-12-2008	1	Surface Water	2
Tolo Harbour And Channel	TM3	08-12-2008	1	Middle Water	1.6
Tolo Harbour And Channel	TM3	08-12-2008	1	Bottom Water	1.1
Tolo Harbour And Channel	TM3	17-01-2009	1	Surface Water	1.5
Tolo Harbour And Channel	TM3	17-01-2009	1	Middle Water	1.7
Tolo Harbour And Channel	TM3	17-01-2009	1	Bottom Water	0.8
Tolo Harbour And Channel	TM3	12-02-2009	1	Surface Water	1.5
Tolo Harbour And Channel	TM3	12-02-2009	1	Middle Water	1.8
Tolo Harbour And Channel	TM3	12-02-2009	1	Bottom Water	2
Tolo Harbour And Channel	TM3	25-03-2009	1	Surface Water	2.1
Tolo Harbour And Channel	TM3	25-03-2009	1	Middle Water	2.2
Tolo Harbour And Channel	TM3	25-03-2009	1	Bottom Water	1.2
Tolo Harbour And Channel	TM3	21-04-2009	1	Surface Water	0.8
Tolo Harbour And Channel	TM3	21-04-2009	1	Middle Water	0.7
Tolo Harbour And Channel	TM3	21-04-2009	1	Bottom Water	0.2
Tolo Harbour And Channel	TM3	27-05-2009	1	Surface Water	1.2
Tolo Harbour And Channel	TM3	27-05-2009	1	Middle Water	0.9
